Level1,Level2,Level3,Employment,Mean_Hourly_Wage,Mean_Annual_Wage,Hourly_Wage
Protective service occupations,Other protective service workers...................................................,Private detectives and investigators..............................................,"38,700",29.65,"61,680",25.18
Protective service occupations,Other protective service workers...................................................,Security guards and gambling surveillance officers................................,"1,251,760",20.64,"42,920",18.46
Protective service occupations,Other protective service workers...................................................,Gambling surveillance officers and gambling investigators........................,"10,000",22.46,"46,710",21.11
Protective service occupations,Other protective service workers...................................................,Security guards..................................................................,"1,241,770",20.62,"42,890",18.45
Protective service occupations,Other protective service workers...................................................,Miscellaneous protective service workers..........................................,"435,360",20.18,"41,960",17.85
Protective service occupations,Other protective service workers...................................................,Crossing guards and flaggers.....................................................,"90,180",20.63,"42,910",18.13
Protective service occupations,Other protective service workers...................................................,"Lifeguards, ski patrol, and other recreational protective service workers........","143,590",16.68,"34,700",16.21
Protective service occupations,Other protective service workers...................................................,Transportation security screeners................................................,"46,340",29.73,"61,840",30.46
Protective service occupations,Other protective service workers...................................................,School bus monitors..............................................................,"72,140",16.96,"35,270",16.82
Protective service occupations,Other protective service workers...................................................,"Protective service workers, all other............................................","83,110",23.18,"48,210",20.00
Food preparation and serving related occupations,,,"13,613,490",17.32,"36,020",16.41
Food preparation and serving related occupations,Supervisors of food preparation and serving workers................................,,"1,369,780",22.85,"47,540",21.22
Food preparation and serving related occupations,Supervisors of food preparation and serving workers................................,Supervisors of food preparation and serving workers...............................,"1,369,780",22.85,"47,540",21.22
Food preparation and serving related occupations,Supervisors of food preparation and serving workers................................,Chefs and head cooks.............................................................,"182,320",31.11,"64,720",29.32
Food preparation and serving related occupations,Supervisors of food preparation and serving workers................................,First-line supervisors of food preparation and serving workers...................,"1,187,460",21.59,"44,900",20.20
Food preparation and serving related occupations,Cooks and food preparation workers.................................................,,"3,632,290",17.05,"35,460",17.04
Food preparation and serving related occupations,Cooks and food preparation workers.................................................,Cooks.............................................................................,"2,743,520",17.28,"35,950",17.19
Food preparation and serving related occupations,Cooks and food preparation workers.................................................,"Cooks, fast food.................................................................","668,230",14.97,"31,140",14.50
Food preparation and serving related occupations,Cooks and food preparation workers.................................................,"Cooks, institution and cafeteria.................................................","448,260",17.94,"37,310",17.53
Food preparation and serving related occupations,Cooks and food preparation workers.................................................,"Cooks, private household.........................................................",900,24.66,"51,290",21.41
Food preparation and serving related occupations,Cooks and food preparation workers.................................................,"Cooks, restaurant................................................................","1,452,130",18.14,"37,730",17.71
Food preparation and serving related occupations,Cooks and food preparation workers.................................................,"Cooks, short order...............................................................","150,420",17.14,"35,660",17.12
Food preparation and serving related occupations,Cooks and food preparation workers.................................................,"Cooks, all other.................................................................","23,590",18.27,"38,000",17.41
Food preparation and serving related occupations,Cooks and food preparation workers.................................................,Food preparation workers..........................................................,"888,770",16.32,"33,940",16.45
Food preparation and serving related occupations,Food and beverage serving workers..................................................,,"7,101,010",16.66,"34,650",15.13
Food preparation and serving related occupations,Food and beverage serving workers..................................................,Bartenders........................................................................,"745,610",19.17,"39,880",16.12
Food preparation and serving related occupations,Food and beverage serving workers..................................................,Fast food and counter workers.....................................................,"3,780,930",15.07,"31,350",14.65
Food preparation and serving related occupations,Food and beverage serving workers..................................................,Waiters and waitresses............................................................,"2,302,690",18.44,"38,360",16.23
Food preparation and serving related occupations,Food and beverage serving workers..................................................,"Food servers, nonrestaurant.......................................................","271,780",16.84,"35,030",16.57
Food preparation and serving related occupations,Other food preparation and serving related workers.................................,,"1,510,410",16.05,"33,380",15.71
Food preparation and serving related occupations,Other food preparation and serving related workers.................................,Dining room and cafeteria attendants and bartender helpers........................,"522,010",16.44,"34,190",15.71
Food preparation and serving related occupations,Other food preparation and serving related workers.................................,Dishwashers.......................................................................,"471,670",15.97,"33,220",16.19
Food preparation and serving related occupations,Other food preparation and serving related workers.................................,"Hosts and hostesses, restaurant, lounge, and coffee shop..........................","427,150",15.40,"32,030",14.61
Food preparation and serving related occupations,Other food preparation and serving related workers.................................,"Food preparation and serving related workers, all other...........................","89,580",17.30,"35,990",16.74
Building and grounds cleaning and maintenance occupations,,,"4,496,150",19.01,"39,540",17.69
Building and grounds cleaning and maintenance occupations,Supervisors of building and grounds cleaning and maintenance workers...............,,"298,790",26.24,"54,580",24.03
Building and grounds cleaning and maintenance occupations,Supervisors of building and grounds cleaning and maintenance workers...............,First-line supervisors of building and grounds cleaning and maintenance workers...,"298,790",26.24,"54,580",24.03
Building and grounds cleaning and maintenance occupations,Supervisors of building and grounds cleaning and maintenance workers...............,First-line supervisors of housekeeping and janitorial workers....................,"174,660",24.60,"51,170",22.85
Building and grounds cleaning and maintenance occupations,Supervisors of building and grounds cleaning and maintenance workers...............,"First-line supervisors of landscaping, lawn service, and groundskeeping workers..","124,130",28.55,"59,380",27.01
Building and grounds cleaning and maintenance occupations,Building cleaning and pest control workers.........................................,,"3,167,290",17.98,"37,400",17.19
Building and grounds cleaning and maintenance occupations,Building cleaning and pest control workers.........................................,Building cleaning workers.........................................................,"3,071,180",17.86,"37,140",17.13
Building and grounds cleaning and maintenance occupations,Building cleaning and pest control workers.........................................,"Janitors and cleaners, except maids and housekeeping cleaners....................","2,199,900",18.01,"37,460",17.27
Building and grounds cleaning and maintenance occupations,Building cleaning and pest control workers.........................................,Maids and housekeeping cleaners..................................................,"854,910",17.39,"36,180",16.66
Building and grounds cleaning and maintenance occupations,Building cleaning and pest control workers.........................................,"Building cleaning workers, all other.............................................","16,370",21.23,"44,150",20.37
Building and grounds cleaning and maintenance occupations,Building cleaning and pest control workers.........................................,Pest control workers..............................................................,"96,110",22.02,"45,800",21.51
Building and grounds cleaning and maintenance occupations,Grounds maintenance workers........................................................,,"1,030,070",20.07,"41,750",18.50
Building and grounds cleaning and maintenance occupations,Grounds maintenance workers........................................................,Grounds maintenance workers.......................................................,"1,030,070",20.07,"41,750",18.50
Building and grounds cleaning and maintenance occupations,Grounds maintenance workers........................................................,Landscaping and groundskeeping workers...........................................,"943,430",19.66,"40,880",18.31
Building and grounds cleaning and maintenance occupations,Grounds maintenance workers........................................................,"Pesticide handlers, sprayers, and applicators, vegetation........................","25,200",22.10,"45,960",21.73
Building and grounds cleaning and maintenance occupations,Grounds maintenance workers........................................................,Tree trimmers and pruners........................................................,"47,870",26.43,"54,970",24.25
Building and grounds cleaning and maintenance occupations,Grounds maintenance workers........................................................,"Grounds maintenance workers, all other...........................................","13,580",22.68,"47,180",20.87
Personal care and service occupations,,,"3,159,940",18.95,"39,410",16.88
Personal care and service occupations,Supervisors of personal care and service workers...................................,,"225,420",25.21,"52,440",23.10
Personal care and service occupations,Supervisors of personal care and service workers...................................,First-line supervisors of entertainment and recreation workers....................,"118,360",25.87,"53,820",23.61
Personal care and service occupations,Supervisors of personal care and service workers...................................,First-line supervisors of gambling services workers..............................,"25,530",30.10,"62,600",29.61
Personal care and service occupations,Supervisors of personal care and service workers...................................,gambling services...............................................................,"92,830",24.71,"51,400",22.55
Personal care and service occupations,Supervisors of personal care and service workers...................................,First-line supervisors of personal service workers................................,"107,060",24.48,"50,920",22.64
Personal care and service occupations,Animal care and service workers....................................................,,"297,420",17.06,"35,490",16.28
Personal care and service occupations,Animal care and service workers....................................................,Animal trainers...................................................................,"20,110",22.01,"45,780",18.63
Personal care and service occupations,Animal care and service workers....................................................,Animal caretakers.................................................................,"277,300",16.71,"34,750",16.09
Personal care and service occupations,Entertainment attendants and related workers.......................................,,"627,560",16.05,"33,380",15.00
Personal care and service occupations,Entertainment attendants and related workers.......................................,Gambling services workers.........................................................,"105,500",18.97,"39,450",16.00
Personal care and service occupations,Entertainment attendants and related workers.......................................,Gambling dealers.................................................................,"82,980",19.43,"40,420",16.00
Personal care and service occupations,Entertainment attendants and related workers.......................................,Gambling and sports book writers and runners.....................................,"7,600",15.66,"32,570",14.65
Personal care and service occupations,Entertainment attendants and related workers.......................................,"Gambling service workers, all other..............................................","14,920",18.07,"37,590",16.60
Personal care and service occupations,Entertainment attendants and related workers.......................................,Motion picture projectionists.....................................................,"1,950",24.18,"50,290",18.35
Personal care and service occupations,Entertainment attendants and related workers.......................................,"Ushers, lobby attendants, and ticket takers.......................................","119,210",15.27,"31,770",14.98
Personal care and service occupations,Entertainment attendants and related workers.......................................,Miscellaneous entertainment attendants and related workers........................,"400,900",15.47,"32,180",14.91
Personal care and service occupations,Entertainment attendants and related workers.......................................,Amusement and recreation attendants..............................................,"371,590",15.07,"31,350",14.66
Personal care and service occupations,Entertainment attendants and related workers.......................................,Costume attendants...............................................................,"6,290",31.68,"65,890",26.35
Personal care and service occupations,Entertainment attendants and related workers.......................................,"Locker room, coatroom, and dressing room attendants..............................","14,960",17.54,"36,490",16.73
Personal care and service occupations,Entertainment attendants and related workers.......................................,"Entertainment attendants and related workers, all other..........................","8,060",17.40,"36,180",16.61
Personal care and service occupations,Funeral service workers............................................................,,"62,630",22.06,"45,890",18.83
Personal care and service occupations,Funeral service workers............................................................,Embalmers and crematory operators.................................................,"6,360",24.82,"51,630",23.37
Personal care and service occupations,Funeral service workers............................................................,Embalmers........................................................................,"3,420",27.65,"57,520",27.06
Personal care and service occupations,Funeral service workers............................................................,Crematory operators..............................................................,"2,950",21.53,"44,790",20.62
Personal care and service occupations,Funeral service workers............................................................,Funeral attendants................................................................,"30,560",17.26,"35,900",16.64
Personal care and service occupations,Funeral service workers............................................................,"Morticians, undertakers, and funeral arrangers....................................","25,700",27.09,"56,340",23.94
Personal care and service occupations,Personal appearance workers........................................................,,"543,830",20.42,"42,480",16.98
Personal care and service occupations,Personal appearance workers........................................................,"Barbers, hairdressers, hairstylists and cosmetologists............................","313,560",21.01,"43,710",17.03
Personal care and service occupations,Personal appearance workers........................................................,Barbers..........................................................................,"18,100",22.98,"47,800",18.73
Personal care and service occupations,Personal appearance workers........................................................,"Hairdressers, hairstylists, and cosmetologists...................................","295,460",20.89,"43,460",16.95
Personal care and service occupations,Personal appearance workers........................................................,Miscellaneous personal appearance workers.........................................,"230,270",19.62,"40,810",16.95
Personal care and service occupations,Personal appearance workers........................................................,"Makeup artists, theatrical and performance.......................................","3,320",36.25,"75,410",24.17
Personal care and service occupations,Personal appearance workers........................................................,Manicurists and pedicurists......................................................,"147,820",17.74,"36,910",16.66
Personal care and service occupations,Personal appearance workers........................................................,Shampooers.......................................................................,"8,890",14.82,"30,830",15.13
Personal care and service occupations,Personal appearance workers........................................................,Skincare specialists.............................................................,"70,240",23.40,"48,670",19.98
Personal care and service occupations,"Baggage porters, bellhops, and concierges..........................................",,"75,430",18.84,"39,190",17.70
Personal care and service occupations,"Baggage porters, bellhops, and concierges..........................................","Baggage porters, bellhops, and concierges.........................................","75,430",18.84,"39,190",17.70
Personal care and service occupations,"Baggage porters, bellhops, and concierges..........................................",Baggage porters and bellhops.....................................................,"31,220",17.77,"36,960",17.32
Personal care and service occupations,"Baggage porters, bellhops, and concierges..........................................",Concierges.......................................................................,"44,200",19.60,"40,770",17.94
Personal care and service occupations,Tour and travel guides.............................................................,,"49,010",20.72,"43,090",17.63
Personal care and service occupations,Tour and travel guides.............................................................,Tour and travel guides............................................................,"49,010",20.72,"43,090",17.63
Personal care and service occupations,Other personal care and service workers............................................,,"1,278,640",18.86,"39,230",17.09
Personal care and service occupations,Other personal care and service workers............................................,Childcare workers.................................................................,"520,180",15.93,"33,140",15.41
Personal care and service occupations,Other personal care and service workers............................................,Recreation and fitness workers....................................................,"613,260",21.25,"44,190",17.99
Personal care and service occupations,Other personal care and service workers............................................,Exercise trainers and group fitness instructors..................................,"303,620",24.69,"51,360",22.20
Personal care and service occupations,Other personal care and service workers............................................,Recreation workers...............................................................,"309,640",17.87,"37,170",17.01
Personal care and service occupations,Other personal care and service workers............................................,Residential advisors..............................................................,"82,810",19.99,"41,590",18.84
Personal care and service occupations,Other personal care and service workers............................................,"Personal care and service workers, all other......................................","62,390",18.27,"37,990",18.22
Sales and related occupations,,,"13,351,680",26.00,"54,070",18.01
Sales and related occupations,Supervisors of sales workers.......................................................,,"1,332,180",28.77,"59,830",23.81
Sales and related occupations,Supervisors of sales workers.......................................................,First-line supervisors of sales workers...........................................,"1,332,180",28.77,"59,830",23.81
Sales and related occupations,Supervisors of sales workers.......................................................,First-line supervisors of retail sales workers...................................,"1,113,160",25.17,"52,350",22.75
Sales and related occupations,Supervisors of sales workers.......................................................,First-line supervisors of non-retail sales workers...............................,"219,010",47.06,"97,870",40.45
Sales and related occupations,Retail sales workers...............................................................,,"7,633,890",17.05,"35,470",16.20
Sales and related occupations,Retail sales workers...............................................................,Cashiers..........................................................................,"3,169,970",15.31,"31,840",15.00
Sales and related occupations,Retail sales workers...............................................................,Cashiers.........................................................................,"3,148,030",15.29,"31,810",14.99
Sales and related occupations,Retail sales workers...............................................................,Gambling change persons and booth cashiers.......................................,"21,930",17.70,"36,820",16.74
Sales and related occupations,Retail sales workers...............................................................,Counter and rental clerks and parts salespersons..................................,"663,680",20.76,"43,180",18.32
Sales and related occupations,Retail sales workers...............................................................,Counter and rental clerks........................................................,"398,620",21.01,"43,700",18.53
Sales and related occupations,Retail sales workers...............................................................,Parts salespersons...............................................................,"265,060",20.38,"42,390",18.00
Sales and related occupations,Retail sales workers...............................................................,Retail salespersons...............................................................,"3,800,250",17.86,"37,150",16.62
Sales and related occupations,"Sales representatives, services....................................................",,"2,287,740",41.53,"86,380",30.87
Sales and related occupations,"Sales representatives, services....................................................",Advertising sales agents..........................................................,"97,470",36.71,"76,350",29.55
Sales and related occupations,"Sales representatives, services....................................................",Insurance sales agents............................................................,"469,480",39.19,"81,510",29.02
Sales and related occupations,"Sales representatives, services....................................................","Securities, commodities, and financial services sales agents......................","472,300",53.08,"110,400",37.57
Sales and related occupations,"Sales representatives, services....................................................",Travel agents.....................................................................,"59,150",25.33,"52,690",23.29
Sales and related occupations,"Sales representatives, services....................................................","services, and travel.............................................................","1,189,330",39.07,"81,260",31.86
Sales and related occupations,"Sales representatives, wholesale and manufacturing.................................",,"1,560,790",42.16,"87,690",35.63
Sales and related occupations,"Sales representatives, wholesale and manufacturing.................................","Sales representatives, wholesale and manufacturing................................","1,560,790",42.16,"87,690",35.63
Sales and related occupations,"Sales representatives, wholesale and manufacturing.................................",products........................................................................,"293,930",55.06,"114,520",48.11
Sales and related occupations,"Sales representatives, wholesale and manufacturing.................................",scientific products.............................................................,"1,266,860",39.17,"81,470",32.11
Sales and related occupations,Other sales and related workers....................................................,,"537,090",33.10,"68,850",23.91
Sales and related occupations,Other sales and related workers....................................................,"Models, demonstrators, and product promoters......................................","70,120",22.41,"46,610",18.64
Sales and related occupations,Other sales and related workers....................................................,Demonstrators and product promoters..............................................,"64,770",21.03,"43,730",18.25
Sales and related occupations,Other sales and related workers....................................................,Models...........................................................................,"5,350",39.20,"81,540",43.26
Sales and related occupations,Other sales and related workers....................................................,Real estate brokers and sales agents..............................................,"240,190",36.17,"75,240",28.35
Sales and related occupations,Other sales and related workers....................................................,Real estate brokers..............................................................,"49,590",44.07,"91,660",34.75
Sales and related occupations,Other sales and related workers....................................................,Real estate sales agents.........................................................,"190,600",34.12,"70,970",27.08
Sales and related occupations,Other sales and related workers....................................................,Sales engineers...................................................................,"56,690",62.70,"130,410",58.42
Sales and related occupations,Other sales and related workers....................................................,Telemarketers.....................................................................,"66,430",17.47,"36,340",16.54
Sales and related occupations,Other sales and related workers....................................................,Miscellaneous sales and related workers...........................................,"103,660",27.05,"56,270",22.11
Sales and related occupations,Other sales and related workers....................................................,"Door-to-door sales workers, news and street vendors, and related workers.........","4,590",19.18,"39,890",16.60
Sales and related occupations,Other sales and related workers....................................................,"Sales and related workers, all other.............................................","99,070",27.42,"57,030",22.29
Office and administrative support occupations,,,"18,218,070",24.12,"50,160",22.27
Office and administrative support occupations,Supervisors of office and administrative support workers...........................,,"1,495,580",34.40,"71,560",31.80
Office and administrative support occupations,Supervisors of office and administrative support workers...........................,First-line supervisors of office and administrative support workers...............,"1,495,580",34.40,"71,560",31.80
Office and administrative support occupations,Communications equipment operators.................................................,,"41,070",20.52,"42,670",18.56
Office and administrative support occupations,Communications equipment operators.................................................,"Switchboard operators, including answering service................................","35,730",20.26,"42,130",18.45
Office and administrative support occupations,Communications equipment operators.................................................,Telephone operators...............................................................,"3,950",20.62,"42,880",18.81
Office and administrative support occupations,Communications equipment operators.................................................,"Communications equipment operators, all other.....................................","1,390",26.87,"55,890",24.00
Office and administrative support occupations,Financial clerks...................................................................,,"2,645,000",24.14,"50,200",22.77
Office and administrative support occupations,Financial clerks...................................................................,Bill and account collectors.......................................................,"165,020",23.25,"48,370",22.14
Office and administrative support occupations,Financial clerks...................................................................,Billing and posting clerks........................................................,"417,500",23.80,"49,490",22.68
Office and administrative support occupations,Financial clerks...................................................................,"Bookkeeping, accounting, and auditing clerks......................................","1,455,770",25.01,"52,020",23.66
Office and administrative support occupations,Financial clerks...................................................................,Gambling cage workers.............................................................,"13,490",18.56,"38,600",17.78
Office and administrative support occupations,Financial clerks...................................................................,Payroll and timekeeping clerks....................................................,"156,950",27.34,"56,870",26.58
Office and administrative support occupations,Financial clerks...................................................................,Procurement clerks................................................................,"59,900",24.25,"50,430",23.32
Office and administrative support occupations,Financial clerks...................................................................,Tellers...........................................................................,"339,340",19.68,"40,940",18.91
Office and administrative support occupations,Financial clerks...................................................................,"Financial clerks, all other.......................................................","37,030",26.60,"55,330",25.07
Office and administrative support occupations,Information and record clerks......................................................,,"5,311,310",21.44,"44,580",20.00
Office and administrative support occupations,Information and record clerks......................................................,Brokerage clerks..................................................................,"40,090",32.54,"67,680",30.26
Office and administrative support occupations,Information and record clerks......................................................,Correspondence clerks.............................................................,"6,260",22.41,"46,610",22.47
Office and administrative support occupations,Information and record clerks......................................................,"Court, municipal, and license clerks..............................................","170,010",24.61,"51,200",22.93
Office and administrative support occupations,Information and record clerks......................................................,"Credit authorizers, checkers, and clerks..........................................","11,960",24.65,"51,270",23.62
Office and administrative support occupations,Information and record clerks......................................................,Customer service representatives..................................................,"2,725,930",21.82,"45,380",20.59
Office and administrative support occupations,Information and record clerks......................................................,"Eligibility interviewers, government programs.....................................","156,260",25.95,"53,970",24.76
Office and administrative support occupations,Information and record clerks......................................................,File clerks.......................................................................,"78,980",21.01,"43,700",19.84
Office and administrative support occupations,Information and record clerks......................................................,"Hotel, motel, and resort desk clerks..............................................","261,430",16.70,"34,740",16.48
Office and administrative support occupations,Information and record clerks......................................................,"Interviewers, except eligibility and loan.........................................","157,310",21.83,"45,400",21.07
Office and administrative support occupations,Information and record clerks......................................................,"Library assistants, clerical......................................................","80,070",18.22,"37,910",17.31
Office and administrative support occupations,Information and record clerks......................................................,Loan interviewers and clerks......................................................,"173,100",24.54,"51,050",23.53
Office and administrative support occupations,Information and record clerks......................................................,New accounts clerks...............................................................,"38,030",22.89,"47,610",22.41
Office and administrative support occupations,Information and record clerks......................................................,Order clerks......................................................................,"83,420",22.24,"46,270",21.47
Office and administrative support occupations,Information and record clerks......................................................,"Human resources assistants, except payroll and timekeeping........................","92,580",24.50,"50,950",23.77
Office and administrative support occupations,Information and record clerks......................................................,Receptionists and information clerks..............................................,"964,530",18.50,"38,480",17.90
Office and administrative support occupations,Information and record clerks......................................................,Reservation and transportation ticket agents and travel clerks....................,"127,440",22.94,"47,720",19.94
Office and administrative support occupations,Information and record clerks......................................................,"Information and record clerks, all other..........................................","143,910",24.14,"50,200",23.25
Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers..............",,"2,319,860",25.21,"52,440",23.12
Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers..............",Cargo and freight agents..........................................................,"97,800",26.64,"55,420",23.99
Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers..............",Couriers and messengers...........................................................,"71,920",19.26,"40,060",18.43
Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers..............",Dispatchers.......................................................................,"312,140",25.81,"53,680",23.80
Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers..............",Public safety telecommunicators..................................................,"101,140",26.35,"54,800",24.39
Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers..............","Dispatchers, except police, fire, and ambulance..................................","211,000",25.55,"53,150",23.50
Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers..............","Meter readers, utilities..........................................................","19,620",26.83,"55,810",23.64
Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers..............",Postal service workers............................................................,"526,030",28.71,"59,720",27.82
Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers..............",Postal service clerks............................................................,"78,060",29.36,"61,070",29.63
Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers..............",Postal service mail carriers.....................................................,"336,040",28.79,"59,880",27.64
Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers..............","Postal service mail sorters, processors, and processing machine operators........","111,930",28.04,"58,310",27.18
Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers..............","Production, planning, and expediting clerks.......................................","385,000",29.05,"60,420",27.78
Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers..............","Shipping, receiving, and inventory clerks.........................................","857,630",21.58,"44,890",20.77
Office and administrative support occupations,"Material recording, scheduling, dispatching, and distributing workers..............","Weighers, measurers, checkers, and samplers, recordkeeping........................","49,720",22.43,"46,660",21.95
Office and administrative support occupations,Secretaries and administrative assistants..........................................,,"3,195,900",25.03,"52,070",22.82
Office and administrative support occupations,Secretaries and administrative assistants..........................................,Secretaries and administrative assistants.........................................,"3,195,900",25.03,"52,070",22.82
Office and administrative support occupations,Secretaries and administrative assistants..........................................,Executive secretaries and executive administrative assistants....................,"472,770",37.05,"77,060",35.70
Office and administrative support occupations,Secretaries and administrative assistants..........................................,Legal secretaries and administrative assistants..................................,"154,540",29.00,"60,320",26.03
Office and administrative support occupations,Secretaries and administrative assistants..........................................,Medical secretaries and administrative assistants................................,"830,760",21.91,"45,580",21.46
Office and administrative support occupations,Secretaries and administrative assistants..........................................,"Secretaries and administrative assistants, except legal, medical, and executive..","1,737,820",22.90,"47,640",22.26
Office and administrative support occupations,Other office and administrative support workers....................................,,"3,209,350",22.09,"45,950",21.17
Office and administrative support occupations,Other office and administrative support workers....................................,Data entry and information processing workers.....................................,"171,310",21.00,"43,680",19.94
Office and administrative support occupations,Other office and administrative support workers....................................,Data entry keyers................................................................,"135,280",20.22,"42,070",19.16
Office and administrative support occupations,Other office and administrative support workers....................................,Word processors and typists......................................................,"36,030",23.91,"49,730",23.01
Office and administrative support occupations,Other office and administrative support workers....................................,Desktop publishers................................................................,"4,000",28.97,"60,250",25.78
Office and administrative support occupations,Other office and administrative support workers....................................,Insurance claims and policy processing clerks.....................................,"229,070",24.99,"51,980",23.29
Office and administrative support occupations,Other office and administrative support workers....................................,"Mail clerks and mail machine operators, except postal service.....................","62,730",19.33,"40,200",18.34
Office and administrative support occupations,Other office and administrative support workers....................................,"Office clerks, general............................................................","2,510,550",21.86,"45,470",20.97
Office and administrative support occupations,Other office and administrative support workers....................................,"Office machine operators, except computer.........................................","24,740",20.01,"41,620",18.76
Office and administrative support occupations,Other office and administrative support workers....................................,Proofreaders and copy markers.....................................................,"5,160",25.35,"52,730",23.66
Office and administrative support occupations,Other office and administrative support workers....................................,Statistical assistants............................................................,"5,900",26.67,"55,470",24.73
